Patient,10Percentile,90Percentile,Autocorrelation,Busyness,ClusterProminence,ClusterShade,ClusterTendency,Coarseness,Complexity,Contrast,Contrast.1,Correlation,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Energy,Entropy,GrayLevelNonUniformity,GrayLevelNonUniformity.1,GrayLevelNonUniformity.2,GrayLevelNonUniformityNormalized,GrayLevelNonUniformityNormalized.1,GrayLevelVariance,GrayLevelVariance.1,GrayLevelVariance.2,HighGrayLevelEmphasis,HighGrayLevelRunEmphasis,HighGrayLevelZoneEmphasis,Id,Idm,Idmn,Idn,Imc1,Imc2,InterquartileRange,InverseVariance,JointAverage,JointEnergy,JointEntropy,Kurtosis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelEmphasis,LowGrayLevelRunEmphasis,LowGrayLevelZoneEmphasis,MCC,Maximum,MaximumProbability,Mean,MeanAbsoluteDeviation,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,Skewness,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis,Strength,SumAverage,SumEntropy,SumSquares,TotalEnergy,Uniformity,Variance,ZoneEntropy,ZonePercentage,ZoneVariance
6,196.91297196293345,32.977511359393944,212.04827042977158,133.90162978261756,192.1580126304342,174.35516281461605,132.6780462326736,45.384554883874245,136.13612475523448,124.40521344528057,193.81387247865993,2.307657931357247,8.129271839245702,25.990540033172444,26.295624355220138,39.27541121720707,83.11122672657342,33.320569049441026,124.42578890756914,60.760954073766335,23.77603681086655,61.77991159779117,29.167508528975684,62.230016615467356,53.470497976225275,55.34362874773375,123.46216050539904,130.490454827017,132.99857777476055,210.300396412504,205.41555062082733,179.70235956730951,26.56406800439776,34.06283513841626,0.024223106695764444,0.5006895271413854,19.625372965781164,1.043646257383351,22.53700877824883,41.483654096558794,112.4668001311379,118.95844101084201,23.759809765699806,23.709881116290525,225.21994956093127,190.19142415327372,194.75839806245213,72.12362000129421,158.4033646069607,185.17077100624672,123.695572723455,151.9375507899168,192.47363635448548,148.885094278384,144.63547489577186,137.65325739334796,1.8330851558483046,38.0571733424655,95.52397207243949,40.00357778782704,28.93097727122233,40.34146023226073,4.262260648620377,36.233105222881036,24.616102956263738,36.153104936661315,5.889544021072168,49.350646047392836,30.826788123019423,26.2187131879121,156.1944949851048,17.745933751830513,211.52834793943387,128.00224709723702,88.16897859176545,29.689771882375897,17.890229983681987,18.68730656335235,185.06400355566694,123.66869614547038,66.34297678520362,223.72976217463213,87.78279220374952,127.20445213044624,112.46680013113792,19.341511279610586,132.19342072080548,60.72319218035898,74.36616897870101,60.897189593380084,4.495026147153699,75.40636851844909,225.19012772054464
14,582.1503455728472,6.428469515011686,123.9092527835461,128.4017629249267,167.60818364960232,152.47614541648696,124.95964883853404,37.69842695025663,171.16601608791882,150.16261771941558,61.20445496828584,4.67261149506302,22.799871607295668,93.89194327465063,94.87761264444973,22.27189239565834,87.09373011177672,45.69663535607479,150.11323938433773,10.47740638344068,28.973035829260485,82.55421284000246,136.04907335154186,54.27075151828763,59.97184095528665,54.13396916013367,69.03293584381005,116.50790119924905,99.11594838850965,123.90666636078703,122.13699926310959,69.40345559085259,14.277957817456564,15.913390649398055,0.026288771125796313,0.212728347026495,17.7731781443697,1.2568322875498557,3.731317784433679,39.671532599374,74.07825132231852,89.21323103576924,34.86094063952579,8.053814604719703,134.86099519120773,100.91831208381991,153.53145062404118,40.81612507150793,101.55540670854246,133.8589320534552,165.35418029474187,62.0228249730675,212.9883938390778,112.93697993137637,107.62343421493372,73.61712967833267,1.4715804501661456,19.774119929414805,67.1762793073598,15.918756301164269,2.748283959377294,32.23341257991115,9.292243813657374,19.444711060275328,2.829084734987629,5.46804436130698,6.318143747354766,86.02489552149059,43.61754299367754,50.18012753415702,173.64139913892208,25.776598508593068,131.08203824348544,98.80830857137364,130.45463747114476,40.369341499688296,4.723258318004695,25.093738760162697,84.92731859913586,66.21206538589641,104.7276244490525,172.87456857294012,54.55238987597604,136.42670237930685,74.07825132231852,29.410026708614563,125.23040147801632,10.516878545870098,72.95524677340663,11.549276481062702,4.1259753165487965,110.95164348639844,134.84115300369518
15,76.69367228052228,19.664762016684122,123.80204971354264,111.94774650709434,170.04188430698701,155.9257064151426,127.22391240738847,40.072908972913154,127.85820870888926,126.55645988188465,163.32626881410468,1.0080769621977417,6.440968524363459,18.226129873036697,17.76817845162003,29.652909980560665,76.87260856801842,29.460373281027923,124.74950141856065,38.927729910213195,22.403371094718146,41.142581444754974,25.96510182177991,51.099039392905475,35.88064148275651,45.86957175029607,122.58520355997464,125.85238102964256,127.25757803904433,123.88095838176167,122.75585614478939,122.16703761205802,23.533365961964055,31.09645218324365,0.01671580381391782,0.23708562443021491,13.409630243530977,0.6423928678269692,22.467755981743686,50.340897677537825,73.08002620944933,87.63630654238096,18.04176580234253,13.004444617720983,151.81752294240658,81.23512604391605,191.5280869403651,56.238624547296055,109.7860276773912,144.09553935378023,86.22494878198368,109.76636328978549,178.08914934754972,108.61464033202246,105.9576811306528,109.70174733928854,0.9079743198572514,20.489403693143306,65.26416024971341,23.94533364527503,19.102480343751306,27.86880569849587,6.76607614456324,18.71769120596511,20.60076772763811,20.905435714740932,4.9745523189762055,40.59225706220664,25.014946304933677,21.462543825156263,114.0386093676391,14.21700732249965,124.09633940856202,89.49736543948238,67.34997235403468,24.878847655197156,5.009833625391331,16.708665828191645,124.089561085417,96.34667233399279,50.68145357431172,130.97249860933397,55.35701503715435,110.64993375997093,73.0800262094493,16.142212161465874,127.13395261543255,38.91283790743284,71.25608802399877,34.064643228643746,2.3111358108627726,58.014455693583066,151.80853512291586
16,75.11586597360608,19.399758516261688,131.88291897365485,167.5292228802546,166.9007391163251,152.5844907012376,130.06712867615192,21.17055326608927,142.01072740597894,129.50871958591773,163.004830093298,7.4722904086120865,37.00521949634831,121.95300560887723,122.14664016238734,34.406096421378265,87.42965913726553,56.90036108797422,125.8746059577666,43.2295522870836,56.094894963694486,68.2728650851847,20.64868912399254,125.32548855815816,141.08042437263194,101.88690906248388,119.81764369474732,126.85384411653713,130.1773411220535,131.96733695722244,128.7077093993229,121.44083182448009,26.00748859861014,31.03591938211129,0.08349325583264403,0.42427755784907467,16.743438078736308,10.954527035099463,19.739232973716167,52.64092178080006,78.65877340937139,157.1013762566336,51.38080983073826,41.26750354019049,179.69211344758025,162.00300172812868,181.5706544040331,80.2321622268632,95.6823445010579,136.95096021345373,178.7671489512014,85.71632556308934,182.0772784029836,108.61435461487692,132.7574187657924,156.5608937764801,5.132473998502272,22.006899079033076,126.43129615898998,16.513661662593087,19.16553716373834,10.28161598926564,1.9049981663771125,20.456802138499338,20.56770984841365,17.288431643475427,3.4555014737691514,76.91298514923348,53.64773634717637,54.771909498009585,181.02901824197573,37.183337572946904,132.35437879311752,110.56702562498248,118.49658239999383,45.614499548926865,29.529884320656528,30.222585401975703,125.62533258840065,148.9859585295638,88.58530147019515,148.636712795914,31.014748802595793,137.13172137948663,78.65877340937138,47.90859220497142,130.02816836562653,43.22955228708361,133.58260055897355,36.79508301796723,12.646830272350279,102.46922622802221,179.69176391240464
18,83.64272563199489,15.712685725367411,130.63418921145015,113.53607225127907,175.30962290261314,158.13351225815427,131.01628691612493,32.695747735737555,127.79822825311331,144.88196884982568,191.51755808597923,1.0859711321405294,5.48421941296337,20.328444760180464,20.086793374224317,31.160839168144665,79.61163905213303,28.968768589539177,145.83976184644916,34.26160111319723,21.6129261195557,46.5567467962377,25.302228930782615,53.74112145072362,39.21031483177151,46.99902823554685,122.85596726530315,129.5091753413158,130.65568307049722,130.34181638703615,129.6794975363805,127.05380925230605,24.768607407020994,32.763133640543295,0.0557821870724938,0.40394318960697717,12.134609612348225,0.37175192235573357,13.771663826948721,51.91097410845672,75.14284413430389,93.77840155013072,17.33992161384678,21.030418920499528,177.36805597633582,69.56765423092342,206.83653389450663,56.508071895752096,114.68899181511367,138.93828581610936,75.11041947125754,118.71017819073037,150.59147172249422,111.49428240476365,110.45942903807335,140.27914504407948,0.9710433410240934,15.89980275420157,75.66616637012294,21.516357206992602,12.480830770877105,19.70984535683802,2.7218255557480173,14.933315135592991,12.12760192442996,17.741267719482348,3.9136674122889024,36.26075807286091,22.54268961283814,19.138219089701565,101.61309812988696,12.450571869830945,131.11391832603866,96.50409869929352,68.56198885048788,27.058395482473323,16.29775077557388,17.25674884621246,128.7833930553698,132.00569768490917,51.83186509232599,138.65300665660308,68.37568244225236,102.83828225827027,75.14284413430387,15.73999222204968,131.2245310635432,34.20991952894153,72.9612423901943,25.510899478265408,2.752369443777413,62.275151661211815,177.35880537555556
19,132.31521510236533,9.468738806467854,161.09899190999366,144.1454361818052,266.65527415197766,226.93930047138403,166.48503746408986,22.861837576995498,156.06942623275685,143.40694739423972,215.0341985141834,1.3124567762613615,19.572199534168284,93.56495787606481,93.70824601302277,17.724378427954207,84.72818254268373,42.229422763755565,140.60054204648975,17.86977925852188,25.120432831629323,63.34144792579818,129.4273220359524,53.45662420810222,86.10819228721631,65.38688243503144,150.56581416692416,164.66834332208316,138.77981002614163,161.00801140573677,158.85539598278376,145.41294682478906,15.097313069764704,17.85842455782495,0.008824254264739893,0.18020923624799753,10.888215554385756,0.9120760610469797,15.968625856778154,43.967222619784366,97.17197931540424,100.44791767750168,31.169600962701473,15.071595175503697,177.84655109392372,114.04911309584074,260.14302935722685,44.1873602145118,126.28961302254382,256.1783170582064,151.98322810410681,76.10371466265107,252.75034282872545,229.12489172474002,224.10367406038168,218.67343677780363,1.0225432567861528,15.443430721947388,74.35160369878582,16.76056723286703,16.041896231493503,28.13493457057385,2.6163894730747472,14.67742076372615,18.35170819703105,9.403069368384461,2.2925012881372444,78.78765295735725,45.60565192720419,45.48243020530524,168.1053734773218,28.458551612794952,170.7065270846615,189.10147078921136,117.56801656525853,44.31492914216106,8.006830154440133,29.392667237000353,152.65118447705888,193.60758350023684,80.27897633992488,190.58774074008252,163.78622807025587,121.63126805570845,97.17197931540433,26.963765333182586,166.1457919372514,17.910781827457072,72.08025404916143,32.31217412806156,4.409337926885714,99.20794177686375,177.84209987092407
21,23.410847101882194,9.051197932976988,123.93236358952662,137.76293551314106,180.21311533640932,162.02201060636713,127.82599509396559,24.192206288005842,150.15461683362815,124.81415106903381,62.90274419607782,0.7670121452087352,12.654275505563984,35.25317582722253,31.754283447433895,30.915209467602484,74.91533335105967,39.525684949816956,125.63343284124373,13.636039607863212,26.423852825362694,81.24914259430545,35.570393176739266,77.06183257707187,62.14778739663903,66.59465185206356,107.32150962532742,125.44834128712796,127.61758745775653,123.92961163211834,123.12314390876624,122.78792328311346,21.68749312849397,26.0306934275423,0.00652497873429773,0.039502981341779105,16.315709198673854,0.7421647648413454,18.986007866309162,16.685256503050002,74.13223014942925,105.95278425437004,31.614820728695296,12.493923040769317,169.17848652573636,110.19149952436622,185.9674506672625,61.54217097739518,72.58195636223736,142.6298950502784,105.21273641483762,60.684497968074915,162.16251697459413,120.7139788926566,119.64247372062329,131.44050803005277,0.9369200111022642,12.974102026320015,85.24835833259029,3.1265785191921553,10.49510552110567,3.23605384742664,8.040385036461243,12.525406270876422,17.133255731680016,5.603477501340423,6.371491721693534,65.85682076426488,37.68743064517858,34.85430541987378,120.8712469327854,20.658031037673823,129.72506586071157,105.9814355417511,132.65149785804468,47.04819050883837,15.244063411524673,28.72693345595707,132.14161996875987,114.36026412521296,97.65659677241982,157.12069334749413,34.25040515600019,130.46094752070056,74.13223014942935,24.276381522101147,127.73791596962386,13.701317368451274,72.2898231611904,19.122939779547476,2.4601752081413597,117.01835355139305,169.1759861931427
23,47.81238477316635,10.671496306339897,123.9205921654438,133.51467615626115,182.05260278142958,163.05393108914922,130.56858351285052,21.03994407933493,154.2527326901475,137.68129733650352,70.71106907715111,1.4316761224210122,15.134405285366242,56.85260519271622,49.42433059388476,24.941845369213823,77.23087756696617,41.08967282231962,140.2679084210736,28.12972409276101,24.186828602884187,82.08428276317015,27.388341120497344,76.18768858895315,68.8595400606093,62.837704755922864,121.16816378614392,125.32713652134053,130.26420293728438,123.91475133683329,122.84732705318547,122.719387419132,19.251974459574893,22.600030602354344,0.011670817422703064,0.124476458842427,15.843363888343854,1.0901564784285087,15.284810946049666,22.88400870571522,74.09464125026663,101.87658350767954,33.53545194530943,8.832462766146833,175.251582473682,112.11695928606447,196.91323137987197,55.20271296778508,78.13463842184353,139.59468124140156,112.52779281166667,51.329179577127114,166.479243995046,121.63984805122293,120.28350423803207,118.49528376825937,0.9039741172830377,6.238469254194764,80.22052578335682,10.254353520758762,13.485687626607298,10.389383171551978,4.63216698151218,5.840617898005604,15.346850812551772,11.344529473925125,4.980198625708693,72.23229561883383,40.719399584768716,38.90205687545698,124.77304675485034,23.03817149903624,130.44899054929016,105.87596466817324,134.94089075843303,45.62897550057824,3.2005598981729557,27.98718461058753,131.8381436147786,98.49460126530333,100.41332781055499,160.63709297812534,41.73022260310679,136.12248348961762,74.09464125026669,26.444695465163683,130.617503231293,28.14591245274733,73.119925866745,24.793773913313053,3.7416264456522157,121.83830748308144,175.2465453509163
